,Animal,GENDER,Genotype (I.D.),PCA,Pain Score,Paw Height (mm),Paw Velocity (mm/s),Stimulus,TIME,TiME,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Zscore Height,Zscore Pain,Zscore Velocity,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
28,10.0,,CD1,,2.0,26.88,2168.36,light pinprick,,,,,,,,,,,,,,,,CD1 male.csv,3.031335875821105,2.6830615422650044,1.8666883668861691,0.6984026577506816,,0.8674818609767465
29,1.0,,CD1,,2.0,9.8,1108.78,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.37280623025155946,0.36051570100818214,-0.39401363647963,0.6984026577506816,1.0,0.8687762785396459
30,2.0,,CD1,,1.25,17.7,1113.99,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.6266913880509201,0.371935757854242,0.6516272198780872,0.0529916413468417,1.0,0.871120098916759
31,3.0,,CD1,,3.0,31.2,1971.29,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,3.613451850242455,2.2510940561511834,2.4384818478311487,1.5589506796224681,1.0,0.868776287787359
32,4.0,,CD1,,2.33,14.17,915.26,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.6337528266132594,-0.06367036441398527,0.18439782456887943,0.9823835049683712,1.0,0.8710582623240264
33,5.0,,CD1,,3.0,16.7,1258.17,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.5898222889285594,0.6879710354098855,0.5192676178074901,1.5589506796224681,1.0,0.8702312365445182
34,6.0,,CD1,,0.5,14.36,831.5,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,-0.3562793344230976,-0.2472680537471846,0.20954614896229284,-0.5924193750569982,1.0,0.6646679640232889
35,7.0,,CD1,,1.5,23.35,1342.36,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.476203001189693,0.8725112630240452,1.3994589715769614,0.2681286468147883,1.0,0.8688893965430239
36,8.0,,CD1,,2.0,12.7,893.91,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,0.33006824808089874,-0.11046848603843382,-0.01017079047489845,0.6984026577506816,1.0,0.8669949291178818
37,9.0,,CD1,,2.0,20.48,1911.03,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,2.2100264753252548,2.1190071798472365,1.0195869136343474,0.6984026577506816,1.0,0.8688259230502173
38,10.0,,CD1,,3.0,24.7,808.43,heavy pinprick,,,,,,,,,,,,,,,,CD1 male.csv,1.6509190113921186,-0.29783632849547637,1.5781444343722673,1.5589506796224681,1.0,0.8708526126193642
0,1.0,,CD1,,0.0,9.13,811.94,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.034621530705948,-0.29014258578344737,-0.48269456986693005,-1.0226933859928915,,0.16334994399295275
1,2.0,,CD1,,0.0,5.62,506.48,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.6907457745131964,-0.9596954771841051,-0.9472767731347261,-1.0226933859928915,,0.08995960265879963
2,3.0,,CD1,,0.0,4.89,147.7,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-2.196761322527338,-1.7461231154239005,-1.043899282646262,-1.0226933859928915,,0.1688808294124223
3,4.0,,CD1,,0.0,9.88,794.54,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-0.997898495290659,-0.3282825069200005,-0.3834248683139822,-1.0226933859928915,,0.1779734460533413
4,5.0,,CD1,,0.0,9.54,1016.95,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-0.7460358919779634,0.15922897928578855,-0.42842713301798546,-1.0226933859928915,,0.3360084215434608
5,6.0,,CD1,,0.0,4.82,313.95,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.9941316661744788,-1.3817115126105721,-1.0531644547912038,-1.0226933859928915,,0.1231320423862457
6,7.0,,CD1,,0.0,9.09,1074.65,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-0.7089158710621651,0.285704464893783,-0.48798895394975406,-1.0226933859928915,,0.36513125674459107
7,8.0,,CD1,,0.0,10.63,980.8,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-0.7062607011932258,0.07999000520036383,-0.28415516676103436,-1.0226933859928915,,0.36728950906921704
8,9.0,,CD1,,0.0,6.65,460.81,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.6675666306603738,-1.0598018104201035,-0.810946383002011,-1.0226933859928915,,0.08890724857580053
9,10.0,,CD1,,0.0,5.04,329.8,cotton swab,,,,,,,,,,,,,,,,CD1 female.csv,-1.957132118978444,-1.3469691131844594,-1.0240453423356726,-1.0226933859928915,,0.1169935719795881
10,1.0,,CD1,,0.0,8.53,906.22,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-0.9634158973289728,-0.08348558780906783,-0.5621103311092885,-1.0226933859928915,,0.1934219425109564
11,2.0,,CD1,,1.0,8.08,1282.02,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-0.03632984643699479,0.74024903076085,-0.6216721520410572,-0.16214536412110495,,0.8157178839125353
12,3.0,,CD1,,3.0,5.92,1309.88,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,0.8136763996359238,0.8013167435691471,-0.907568892513547,1.5589506796224681,,0.8687230496332896
13,4.0,,CD1,,0.0,10.39,936.14,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-0.7808808660991653,-0.01790245905012182,-0.3159214712579777,-1.0226933859928915,,0.3056634143524053
14,5.0,,CD1,,0.0,5.0,903.65,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.2419823956188492,-0.08911889799992662,-1.0293397264184965,-1.0226933859928915,,0.10959138194686519
15,1.0,,CD1,,0.0,6.82,1110.63,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-0.8409470915719579,0.3645708075658044,-0.7884452506500095,-1.0226933859928915,,0.262972473712067
16,2.0,,CD1,,0.0,8.76,482.54,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.475782074776851,-1.0121707479892244,-0.5316676226330511,-1.0226933859928915,,0.08796162758008254
17,3.0,,CD1,,0.0,3.95,678.0,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.6063242279269692,-0.5837323005552805,-1.1683173085926235,-1.0226933859928915,,0.0870806520698997
18,4.0,,CD1,,1.0,3.8,711.9,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-1.083782731272083,-0.5094252128237206,-1.1881712489032128,-0.16214536412110495,,0.14649393163887736
19,5.0,,CD1,,0.0,7.39,1423.8,dynamic brush,,,,,,,,,,,,,,,,CD1 female.csv,-0.4045005732387813,1.0510236295390376,-0.7130002774697692,-1.0226933859928915,,0.6315651555273851
20,1.0,,CD1,,0.0,3.03,334.38,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-2.1081850077365605,-1.3369299845174816,-1.2900881424975728,-1.0226933859928915,,0.14625367780561602
21,2.0,,CD1,,0.0,3.19,536.89,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-1.8422292274063354,-0.8930382931747619,-1.2689106061662774,-1.0226933859928915,,0.10181718133094635
22,3.0,,CD1,,0.0,9.42,1458.63,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.20255938317049108,1.127369230296862,-0.444310285266457,-1.0226933859928915,,0.7548499499007122
23,4.0,,CD1,,0.0,4.88,623.21,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-1.6023605737383617,-0.7038292131456098,-1.045222878666968,-1.0226933859928915,,0.08701037585786246
24,5.0,,CD1,,0.0,6.36,514.36,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-1.6231605928890231,-0.9424229151981259,-0.8493306676024842,-1.0226933859928915,,0.08744443466777573
25,6.0,,CD1,,2.0,15.8,1491.93,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,1.3203994313663605,1.200361148334058,0.4001439759439529,0.6984026577506816,,0.8671295307138195
26,7.0,,CD1,,1.0,8.52,1394.54,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,0.13882907706580297,0.9868871874438919,-0.5634339271299945,-0.16214536412110495,,0.8503239315865126
27,8.0,,CD1,,1.0,13.59,962.07,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.0070059498296906764,0.038934791241304535,0.10762925536793308,-0.16214536412110495,,0.8232743048420202
28,9.0,,CD1,,1.0,11.96,1051.82,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,-0.021813207167187806,0.2356622580232365,-0.10811689600714013,-0.16214536412110495,,0.8195609299088293
29,10.0,,CD1,,2.0,13.67,1242.86,light pinprick,,,,,,,,,,,,,,,,CD1 female.csv,0.8425005572860137,0.6544122887086997,0.11821802353358087,0.6984026577506816,,0.8683170513517693
30,1.0,,CD1,,4.0,10.0,1851.37,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.30150382701949,1.9882354732376533,-0.36754171606551067,2.4194987014942546,,0.8673761779845287
31,2.0,,CD1,,4.0,7.98,1894.42,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.1978225888747427,2.082598898808263,-0.6349081122481168,2.4194987014942546,,0.8690107548792547
32,3.0,,CD1,,2.0,20.66,2618.17,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,3.1091716668257487,3.669022342634708,1.043411642007055,0.6984026577506816,,0.8689902333944515
33,4.0,,CD1,,3.0,24.54,1747.73,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,2.814130571781027,1.7610618280311974,1.5569668980409717,1.5589506796224681,,0.8641311298107446
34,5.0,,CD1,,1.0,15.21,1163.06,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,0.37093131112492905,0.4794947193583022,0.3220518107223006,-0.16214536412110495,,0.8687094806362655
35,6.0,,CD1,,2.0,26.46,3066.74,heavy pinprick,,,,,,,,,,,,,,,,CD1 female.csv,4.123048455593107,4.65226512563606,1.8110973340165184,0.6984026577506816,,0.8252618160321457
