,Paw Velocity (mm/s),Paw Height (mm),Pain Score
mean,1279.1805,12.2465,1.3
scaler,830.8152227690282,6.578095678081917,1.5198684153570665
pca,0.5988332875112703,0.5666124571072707,0.5659938314322033
