,Paw Velocity (mm/s),Paw Height (mm),Pain Score
mean,944.3073684210526,12.776842105263157,1.1884210526315788
scaler,456.21489194229173,7.555175328093131,1.162050198924274
pca,0.5710297018887834,0.5893244594953607,0.5715083210254316
