,Paw Velocity (mm/s),Paw Height (mm),Pain Score
mean,1099.724,14.4275,1.1085
scaler,790.6899218745614,9.037271089770407,1.0834402383149704
pca,0.5813753642647802,0.5772671456774336,0.5733806138573421
