Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME
C57 uninjured,"Cage2, Animal 0",0.6 VFH,354.02,8.84,2,Week 2
C57 uninjured,"Cage2, Animal 3",0.6 VFH,2032.85,10.59,1,Week 2
C57 uninjured,"Cage3, Animal 0",0.6 VFH,1811.167,14.3738,3,Week 2
C57 uninjured,"Cage3, Animal 2",0.6 VFH,902.95,9.5604,1,Week 2
C57 uninjured,"Cage3, Animal 3",0.6 VFH,438.925,6.1015,0,Week 2
C57 uninjured,"Cage3, Animal 4",0.6 VFH,854.48,6.2,1,Week 2
C57 uninjured,"Cage1, Animal 1",1.4 VFH,1312.82,9.76,0,Week 2
C57 uninjured,"Cage1, Animal 2",1.4 VFH,596.93,9.89,1,Week 2
C57 uninjured,"Cage1, Animal 4",1.4 VFH,1229.07,10.49,2,Week 2
C57 uninjured,"Cage2, Animal 0",1.4 VFH,212.6,5.63,1,Week 2
C57 uninjured,"Cage2, Animal 1",1.4 VFH,735.98,8.92,1,Week 2
C57 uninjured,"Cage2, Animal 3",1.4 VFH,641.25,12.48,1,Week 2
C57 uninjured,"Cage3, Animal 0",1.4 VFH,856.7,10.6323,2,Week 2
C57 uninjured,"Cage3, Animal 2",1.4 VFH,248.1,4.0432,2,Week 2
C57 uninjured,"Cage3, Animal 3",1.4 VFH,800.9,9.3083,1,Week 2
C57 uninjured,"Cage3, Animal 4",1.4 VFH,787.75,4.8595,2,Week 2
C57 uninjured,"Cage1, Animal 1",0.07 VFH,380.53,4.46,0,Week 3
C57 uninjured,"Cage1, Animal 2",0.07 VFH,711.11,6.91,2,Week 3
C57 uninjured,"Cage1, Animal 4",0.07 VFH,940.3,10.18,0,Week 3
C57 uninjured,"Cage2, Animal 0",0.07 VFH,1126.83,6.4,1,Week 3
C57 uninjured,"Cage2, Animal 1",0.07 VFH,720.9,7.65,0,Week 3
C57 uninjured,"Cage2, Animal 3",0.07 VFH,627.5,4.82,0,Week 3
C57 uninjured,"Cage3, Animal 0",0.07 VFH,1090.75,10.08,1,Week 3
C57 uninjured,"Cage3, Animal 2",0.07 VFH,485.1,3.46,0,Week 3
C57 uninjured,"Cage3, Animal 3",0.07 VFH,451.13,4.5,0,Week 3
C57 uninjured,"Cage3, Animal 4",0.07 VFH,505.8,4.58,1,Week 3
C57 uninjured,"Cage1, Animal 1",0.6 VFH,1010.75,13.37,2,Week 3
C57 uninjured,"Cage1, Animal 2",0.6 VFH,1559.8,9.27,1,Week 3
C57 uninjured,"Cage1, Animal 4",0.6 VFH,971.37,7.91,1,Week 3
C57 uninjured,"Cage2, Animal 0",0.6 VFH,531.33,5.39,0,Week 3
C57 uninjured,"Cage2, Animal 1",0.6 VFH,985.44,6.81,1,Week 3
C57 uninjured,"Cage2, Animal 3",0.6 VFH,1091.34,11.05,2,Week 3
