,Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
34,C57,5,heavy pinprick,2242.98,28.85,2.67,Baseline,C57 male.csv,2.588244673561963,1.4458967648020324,1.595891044623561,1.4412423913925663,1.0,0.9209964374356995
35,C57,6,heavy pinprick,1588.85,20.65,2.0,Baseline,C57 male.csv,1.2289142897825969,0.6186065946564538,0.688537495244937,0.8228418776346288,1.0,0.9268347254571646
36,C57,7,heavy pinprick,1693.6,22.15,2.67,Baseline,C57 male.csv,1.7563277237008643,0.7510858347505474,0.8545168030580998,1.4412423913925663,1.0,0.9140622564497456
37,C57,8,heavy pinprick,2358.2,23.19,2.33,Baseline,C57 male.csv,2.1314879621614584,1.5916176053141224,0.9695957898085598,1.127427205306449,1.0,0.9198079738270093
38,C57,9,heavy pinprick,1384.8,13.44,1.67,Baseline,C57 male.csv,0.44369000044356693,0.3605408291080075,-0.10926971097699896,0.5182565499628088,1.0,0.9139802836658867
39,C57,10,heavy pinprick,2472.2,28.94,2.67,Baseline,C57 male.csv,2.7625335143214294,1.7357954895215366,1.6058498030923507,1.4412423913925663,1.0,0.9141506364928658
0,C57_injured,"Cage1, Animal 1",0.07 vfh,436.99,5.44,0.0,Baseline,CCI injured paw.csv,-1.6480231891827823,-0.8381718062483906,-0.9944926859805342,-1.0231298052248863,,0.07124612850600381
1,C57_injured,"Cage1, Animal 2",0.07 vfh,635.8125,4.89,1.0,Baseline,CCI injured paw.csv,-1.0077435250846953,-0.5867173555218236,-1.0553517655120273,-0.10014396379512873,,0.09375425726692979
2,C57_injured,"Cage1, Animal 4",0.07 vfh,399.05,4.4,0.0,Baseline,CCI injured paw.csv,-1.7423508808118766,-0.8861552178872442,-1.1095716727309937,-1.0231298052248863,,0.072503787898195
3,C57_injured,"Cage2, Animal 0",0.07 vfh,604.05,5.51,0.0,Baseline,CCI injured paw.csv,-1.5207166331778086,-0.6268879699704025,-0.9867469849492532,-1.0231298052248863,,0.0712935746751169
4,C57_injured,"Cage2, Animal 1",0.07 vfh,436.15,6.65,0.0,Baseline,CCI injured paw.csv,-1.5713505373812824,-0.8392341696057084,-0.8606027110112493,-1.0231298052248863,,0.07105632552885367
5,C57_injured,"Cage2, Animal 3",0.07 vfh,767.98,8.25,0.0,Baseline,CCI injured paw.csv,-1.2251618569683782,-0.4195627019167057,-0.6835581160105424,-1.0231298052248863,,0.07848611367423283
6,C57_injured,"Cage3, Animal 0",0.07 vfh,1008.93,6.93,1.0,Baseline,CCI injured paw.csv,-0.6030915769631087,-0.11482883174322785,-0.8296199068861257,-0.10014396379512873,,0.19281896597705026
7,C57_injured,"Cage3, Animal 3",0.07 vfh,687.15,6.29,2.0,Baseline,CCI injured paw.csv,-0.3513473279026373,-0.5217898806928926,-0.9004377448864084,0.8228418776346288,,0.3699079295419757
8,C57_injured,"Cage3, Animal 4",0.07 vfh,485.4,3.58,0.0,Baseline,CCI injured paw.csv,-1.7312383330620131,-0.7769467941915403,-1.200307027668856,-1.0231298052248863,,0.07229036449470021
9,C57_injured,"Cage1, Animal 1",0.6 vfh,544.66,7.16,0.0,Baseline,CCI injured paw.csv,-1.4589888365284525,-0.7019995887693353,-0.804169746354774,-1.0231298052248863,,0.07195230922383597
10,C57_injured,"Cage1, Animal 2",0.6 vfh,1243.18,4.87,4.0,Baseline,CCI injured paw.csv,1.0252282922174019,0.18143142593735834,-1.057564822949536,2.6688135604941436,,0.9346341260846277
11,C57_injured,"Cage1, Animal 4",0.6 vfh,878.0,4.93,0.0,Baseline,CCI injured paw.csv,-1.3563359938344723,-0.2804183964737257,-1.0509256506370095,-1.0231298052248863,,0.07396221416056535
12,C57_injured,"Cage2, Animal 0",0.6 vfh,357.38,6.45,0.0,Baseline,CCI injured paw.csv,-1.6420434855142405,-0.9388560287199016,-0.8827332853863378,-1.0231298052248863,,0.07120616123165019
13,C57_injured,"Cage2, Animal 1",0.6 vfh,372.05,9.92,1.0,Baseline,CCI injured paw.csv,-0.8803841492332798,-0.9203026115153159,-0.4987678199785544,-0.10014396379512873,,0.1107593757089657
