,Genotype (I.D.),Animal,Stimulus,Paw Velocity (mm/s),Paw Height (mm),Pain Score,TIME,file,pca1,Paw Velocity (mm/s)_scaled,Paw Height (mm)_scaled,Pain Score_scaled,used for training,p_pain
94,C57_injured,"Cage1, Animal 4",0.6 vfh,218.2,6.8,1.0,Week 3,CCI injured paw.csv,-1.1928003244898517,-1.114879519281199,-0.8440047802299331,-0.10014396379512873,,0.08002907005562032
95,C57_injured,"Cage2, Animal 0",0.6 vfh,91.41,5.53,1.0,Week 3,CCI injured paw.csv,-1.367148834883267,-1.2752331503220595,-0.9845339275117444,-0.10014396379512873,,0.07369365754670727
96,C57_injured,"Cage2, Animal 1",0.6 vfh,413.81,9.82,2.0,Week 3,CCI injured paw.csv,-0.3268444597039219,-0.8674879760372316,-0.5098331071660985,0.8228418776346288,,0.39247812380393865
97,C57_injured,"Cage2, Animal 3",0.6 vfh,706.32,8.8,1.0,Week 3,CCI injured paw.csv,-0.7061448428762725,-0.49754523121696154,-0.6226990364790492,-0.10014396379512873,,0.15233869084040108
98,C57_injured,"Cage3, Animal 0",0.6 vfh,659.99,7.12,3.0,Week 3,CCI injured paw.csv,0.21092206489252258,-0.5561396292461678,-0.8085958612297917,1.7458277190643865,,0.8503759202680293
99,C57_injured,"Cage3, Animal 2",0.6 vfh,605.08,5.3,1.0,Week 3,CCI injured paw.csv,-1.0041511266802148,-0.6255853101394057,-1.0099840880430961,-0.10014396379512873,,0.09412906976064495
100,C57_injured,"Cage3, Animal 3",0.6 vfh,537.44,5.1,2.0,Week 3,CCI injured paw.csv,-0.5374382640116341,-0.7111308547691382,-1.0321146624181843,0.8228418776346288,,0.22717833130509657
101,C57_injured,"Cage3, Animal 4",0.6 vfh,754.86,5.58,1.0,Week 3,CCI injured paw.csv,-0.8761361246803424,-0.4361558057833836,-0.9790012839179723,-0.10014396379512873,,0.11148153845499087
102,C57_injured,"Cage1, Animal 1",1.4 vfh,2192.65,8.18,2.0,Week 3,CCI injured paw.csv,0.8763369142651946,1.3822434936427417,-0.6913038170418233,0.8228418776346288,,0.9377816896723331
103,C57_injured,"Cage1, Animal 2",1.4 vfh,1285.53,12.02,1.0,Week 3,CCI injured paw.csv,-0.07458401930799861,0.23499224520213013,-0.2663967890401264,-0.10014396379512873,,0.6522891658797612
104,C57_injured,"Cage1, Animal 4",1.4 vfh,441.29,5.28,2.0,Week 3,CCI injured paw.csv,-0.5966373282784602,-0.8327335176335495,-1.012197145480605,0.8228418776346288,,0.1958740504155147
105,C57_injured,"Cage2, Animal 0",1.4 vfh,76.66,5.27,1.0,Week 3,CCI injured paw.csv,-1.3946019862053372,-1.2938877449892467,-1.0133036741993593,-0.10014396379512873,,0.07307398614847539
106,C57_injured,"Cage2, Animal 1",1.4 vfh,1491.1,12.77,1.0,Week 3,CCI injured paw.csv,0.12447387937274254,0.4949803825400087,-0.183407135133545,-0.10014396379512873,,0.8071934452368353
107,C57_injured,"Cage2, Animal 3",1.4 vfh,563.98,6.3,1.0,Week 3,CCI injured paw.csv,-0.9704947049168031,-0.6775652315510261,-0.8993312161676542,-0.10014396379512873,,0.0979027941862791
108,C57_injured,"Cage3, Animal 0",1.4 vfh,659.03,6.27,3.0,Week 3,CCI injured paw.csv,0.1559213725001521,-0.5573537587973881,-0.9026508023239174,1.7458277190643865,,0.8244690121075986
109,C57_injured,"Cage3, Animal 2",1.4 vfh,860.69,7.48,2.0,Week 3,CCI injured paw.csv,-0.14773476346987965,-0.3023106699441672,-0.7687608273546326,0.8228418776346288,,0.578676311626485
110,C57_injured,"Cage3, Animal 3",1.4 vfh,772.53,7.3,2.0,Week 3,CCI injured paw.csv,-0.22405442838275988,-0.4138082337312344,-0.7886783442922122,0.8228418776346288,,0.5
111,C57_injured,"Cage3, Animal 4",1.4 vfh,806.85,7.55,1.0,Week 3,CCI injured paw.csv,-0.7120728757349865,-0.3704031022751075,-0.7610151263233517,-0.10014396379512873,,0.15043557760964515
112,C57_injured,"Cage1, Animal 1",0.07 vfh,172.91,5.5,0.0,Week 4,CCI injured paw.csv,-1.8383623129954172,-1.1721586102965833,-0.9878535136680076,-1.0231298052248863,,0.07518737608195666
113,C57_injured,"Cage1, Animal 2",0.07 vfh,242.08,2.9,0.0,Week 4,CCI injured paw.csv,-1.9535815639874445,-1.0846780466945933,-1.2755509805441565,-1.0231298052248863,,0.08079316986631592
114,C57_injured,"Cage1, Animal 4",0.07 vfh,1114.85,5.84,0.0,Week 4,CCI injured paw.csv,-1.124058457439764,0.019130128741415314,-0.9502315372303574,-1.0231298052248863,,0.08403100633276564
115,C57_injured,"Cage2, Animal 0",0.07 vfh,295.4,3.94,0.0,Week 4,CCI injured paw.csv,-1.8479453266756207,-1.0172432678705643,-1.160471993793697,-1.0231298052248863,,0.07554589510175927
116,C57_injured,"Cage2, Animal 1",0.07 vfh,356.39,10.75,0.0,Week 4,CCI injured paw.csv,-1.3681034585191592,-0.9401080998195975,-0.40692593632193763,-1.0231298052248863,,0.07367062395444068
117,C57_injured,"Cage2, Animal 3",0.07 vfh,118.37,8.58,0.0,Week 4,CCI injured paw.csv,-1.6817253649557027,-1.2411363454252884,-0.6470426682916465,-1.0231298052248863,,0.07155635079262682
118,C57_injured,"Cage3, Animal 0",0.07 vfh,652.82,9.22,1.0,Week 4,CCI injured paw.csv,-0.7186540793150124,-0.5652076593318446,-0.5762248302913636,-0.10014396379512873,,0.14837077498572476
119,C57_injured,"Cage3, Animal 2",0.07 vfh,850.76,9.93,3.0,Week 4,CCI injured paw.csv,0.5306829890684133,-0.3148693224896026,-0.4976612912598,1.7458277190643865,,0.9251348022876802
120,C57_injured,"Cage3, Animal 3",0.07 vfh,890.12,7.83,1.0,Week 4,CCI injured paw.csv,-0.6329610839664757,-0.26509001088956896,-0.7300323221982279,-0.10014396379512873,,0.17953129902488998
121,C57_injured,"Cage3, Animal 4",0.07 vfh,431.4,5.46,1.0,Week 4,CCI injured paw.csv,-1.121633668623741,-0.845241581447684,-0.9922796285430253,-0.10014396379512873,,0.08419252947657116
122,C57_injured,"Cage1, Animal 1",0.6 vfh,360.82,3.33,0.0,Week 4,CCI injured paw.csv,-1.8388080905213633,-0.9345053978280288,-1.2279702456377164,-1.0231298052248863,,0.07520365957096865
123,C57_injured,"Cage1, Animal 2",0.6 vfh,420.2,5.17,1.0,Week 4,CCI injured paw.csv,-1.148392877985782,-0.8594064262119211,-1.0243689613869034,-0.10014396379512873,,0.08249100887365952
124,C57_injured,"Cage1, Animal 4",0.6 vfh,790.38,8.41,0.0,Week 4,CCI injured paw.csv,-1.1984714705978858,-0.3912330123882313,-0.6658536565104717,-1.0231298052248863,,0.07974427078933777
125,C57_injured,"Cage2, Animal 0",0.6 vfh,621.0,6.81,1.0,Week 4,CCI injured paw.csv,-0.8959923679913948,-0.6054509950816686,-0.8428982515111787,-0.10014396379512873,,0.10820419890318894
126,C57_injured,"Cage2, Animal 1",0.6 vfh,1057.53,15.35,3.0,Week 4,CCI injured paw.csv,1.0289253882767013,-0.05336352321269855,0.10207727430509508,1.7458277190643865,,0.9345189289310867
127,C57_injured,"Cage2, Animal 3",0.6 vfh,550.35,15.05,3.0,Week 4,CCI injured paw.csv,0.6368451998728524,-0.6948033417417897,0.06888141274246264,1.7458277190643865,,0.9332917560099544
128,C57_injured,"Cage3, Animal 0",0.6 vfh,1278.9,6.69,2.0,Week 4,CCI injured paw.csv,0.109302782986035,0.22660716298901487,-0.8561765961362316,0.8228418776346288,,0.7981776657521358
129,C57_injured,"Cage3, Animal 2",0.6 vfh,300.0,6.21,1.0,Week 4,CCI injured paw.csv,-1.1703417412505008,-1.0114255637709668,-0.9092899746364439,-0.10014396379512873,,0.08122103405175667
130,C57_injured,"Cage3, Animal 3",0.6 vfh,535.46,10.41,1.0,Week 4,CCI injured paw.csv,-0.7289333184652209,-0.71363499696853,-0.4445479127595878,-0.10014396379512873,,0.1452443184317685
131,C57_injured,"Cage3, Animal 4",0.6 vfh,195.66,7.89,1.0,Week 4,CCI injured paw.csv,-1.1397483151219674,-1.1433862693692265,-0.7233931498857015,-0.10014396379512873,,0.08302158152086875
132,C57_injured,"Cage1, Animal 1",1.4 vfh,1120.23,8.95,2.0,Week 4,CCI injured paw.csv,0.13699689635387577,0.02593431310137939,-0.6061011056977331,0.8228418776346288,,0.8142980080719403
133,C57_injured,"Cage1, Animal 2",1.4 vfh,164.53,6.54,0.0,Week 4,CCI injured paw.csv,-1.7780926081039061,-1.1827569495041108,-0.872774526917548,-1.0231298052248863,,0.07332040940139843
134,C57_injured,"Cage1, Animal 4",1.4 vfh,901.14,11.79,1.0,Week 4,CCI injured paw.csv,-0.3719083225374614,-0.2511528154161856,-0.2918469495714781,-0.10014396379512873,,0.35191526789080474
135,C57_injured,"Cage2, Animal 0",1.4 vfh,413.34,5.22,2.0,Week 4,CCI injured paw.csv,-0.6210208699877694,-0.8680823936300165,-1.0188363177931312,0.8228418776346288,,0.18467853999886893
136,C57_injured,"Cage2, Animal 1",1.4 vfh,511.8,13.89,2.0,Week 4,CCI injured paw.csv,0.005181649410264591,-0.7435582315329813,-0.05947591863304998,0.8228418776346288,,0.7237315627049031
137,C57_injured,"Cage2, Animal 3",1.4 vfh,311.66,8.28,1.0,Week 4,CCI injured paw.csv,-1.029544548739237,-0.9966789485967698,-0.6802385298542791,-0.10014396379512873,,0.0915870310693225
138,C57_injured,"Cage3, Animal 0",1.4 vfh,899.98,10.7,1.0,Week 4,CCI injured paw.csv,-0.44238637434232175,-0.25261988862391016,-0.4124585799157098,-0.10014396379512873,,0.2909987031221257
139,C57_injured,"Cage3, Animal 2",1.4 vfh,686.38,6.21,1.0,Week 4,CCI injured paw.csv,-0.8862457802041397,-0.5227637137704338,-0.9092899746364439,-0.10014396379512873,,0.10978190743695886
140,C57_injured,"Cage3, Animal 3",1.4 vfh,451.82,9.49,1.0,Week 4,CCI injured paw.csv,-0.8491979735785132,-0.8194160341186015,-0.5463485548849943,-0.10014396379512873,,0.11634323069406304
141,C57_injured,"Cage3, Animal 4",1.4 vfh,1530.15,17.27,1.0,Week 4,CCI injured paw.csv,0.44062961299934444,0.5443676314724609,0.31453078830594355,-0.10014396379512873,,0.9134957833591261
0,C57 uninjured,"Cage1, Animal 1",0.07 vfh,530.48,5.83,1.0,Baseline,CCI uninjured paw.csv,-1.0251482983942881,-0.7199332940154856,-0.9513380659491117,-0.10014396379512873,,0.09200960955275356
1,C57 uninjured,"Cage1, Animal 2",0.07 vfh,1031.47,6.77,0.0,Baseline,CCI uninjured paw.csv,-1.125960845888674,-0.08632208165520039,-0.8473243663861965,-1.0231298052248863,,0.08390533454257859
2,C57 uninjured,"Cage1, Animal 4",0.07 vfh,271.5,3.97,0.0,Baseline,CCI uninjured paw.csv,-1.8636021362977788,-1.0474700348228203,-1.1571524076374335,-1.0231298052248863,,0.07617064582060425
3,C57 uninjured,"Cage2, Animal 0",0.07 vfh,171.28,5.93,0.0,Baseline,CCI uninjured paw.csv,-1.8120940179318168,-1.174220101097093,-0.9402727787615676,-1.0231298052248863,,0.07429376007408843
4,C57 uninjured,"Cage2, Animal 1",0.07 vfh,1399.75,10.81,0.0,Baseline,CCI uninjured paw.csv,-0.597113260652477,0.3794483674316992,-0.40028676400941104,-1.0231298052248863,,0.1956464721495499
5,C57 uninjured,"Cage2, Animal 3",0.07 vfh,86.96,4.31,0.0,Baseline,CCI uninjured paw.csv,-1.9775720480165833,-1.2808611466792785,-1.1195304311997833,-1.0231298052248863,,0.08235556785866613
6,C57 uninjured,"Cage3, Animal 0",0.07 vfh,632.0,4.17,1.0,Baseline,CCI uninjured paw.csv,-1.0565376776398352,-0.5915390939739356,-1.1350218332623454,-0.10014396379512873,,0.08914281333865355
7,C57 uninjured,"Cage3, Animal 2",0.07 vfh,472.49,6.08,0.0,Baseline,CCI uninjured paw.csv,-1.5810400781244578,-0.7932743072188887,-0.9236748479802512,-1.0231298052248863,,0.07104288618191448
8,C57 uninjured,"Cage3, Animal 3",0.07 vfh,1608.23,5.91,0.0,Baseline,CCI uninjured paw.csv,-0.7568166200831452,0.6431168349717145,-0.9424858361990763,-1.0231298052248863,,0.13733962253829698
9,C57 uninjured,"Cage3, Animal 4",0.07 vfh,649.37,4.98,0.0,Baseline,CCI uninjured paw.csv,-1.5212483442719482,-0.5695709374065427,-1.0453930070432373,-1.0231298052248863,,0.07128965148160264
10,C57 uninjured,"Cage1, Animal 1",0.6 vfh,470.43,3.62,0.0,Baseline,CCI uninjured paw.csv,-1.7396903648630015,-0.7958796268808823,-1.1958809127938383,-1.0231298052248863,,0.07245099460083294
11,C57 uninjured,"Cage1, Animal 2",0.6 vfh,1035.0,3.89,1.0,Baseline,CCI uninjured paw.csv,-0.7781067835084183,-0.08185762611790066,-1.166004637387469,-0.10014396379512873,,0.13183399934911388
12,C57 uninjured,"Cage1, Animal 4",0.6 vfh,960.97,6.42,0.0,Baseline,CCI uninjured paw.csv,-1.2001545011962775,-0.17548472057294348,-0.886052871542601,-1.0231298052248863,,0.07966096310458946
13,C57 uninjured,"Cage2, Animal 0",0.6 vfh,376.16,7.18,1.0,Baseline,CCI uninjured paw.csv,-1.0523831376321853,-0.9151046193741538,-0.8019566889172652,-0.10014396379512873,,0.08950273332965347
14,C57 uninjured,"Cage2, Animal 1",0.6 vfh,594.58,9.22,0.0,Baseline,CCI uninjured paw.csv,-1.2906987449353668,-0.638864852105878,-0.5762248302913636,-1.0231298052248863,,0.07591306986909704
15,C57 uninjured,"Cage2, Animal 3",0.6 vfh,287.12,5.16,0.0,Baseline,CCI uninjured paw.csv,-1.7761043660273519,-1.0277151352498395,-1.0254754901056577,-1.0231298052248863,,0.07326958015385376
16,C57 uninjured,"Cage3, Animal 0",0.6 vfh,844.95,3.95,1.0,Baseline,CCI uninjured paw.csv,-0.9140134211771997,-0.32221733571105055,-1.1593654650749423,-0.10014396379512873,,0.1054372454689691
17,C57 uninjured,"Cage3, Animal 2",0.6 vfh,1094.71,8.6,0.0,Baseline,CCI uninjured paw.csv,-0.9625684188073426,-0.006341297468561057,-0.6448296108541377,-1.0231298052248863,,0.09886453254853045
18,C57 uninjured,"Cage3, Animal 3",0.6 vfh,1348.08,12.7,2.0,Baseline,CCI uninjured paw.csv,0.5440655480031201,0.31410037377382977,-0.19115283616482598,0.8228418776346288,,0.9264546764992049
19,C57 uninjured,"Cage3, Animal 4",0.6 vfh,658.05,6.36,1.0,Baseline,CCI uninjured paw.csv,-0.8974947106364874,-0.558593182714259,-0.8926920438551275,-0.10014396379512873,,0.10796618673483942
20,C57 uninjured,"Cage1, Animal 1",1.4 vfh,793.41,7.46,0.0,Baseline,CCI uninjured paw.csv,-1.2569260382928604,-0.3874009159921922,-0.7709738847921415,-1.0231298052248863,,0.07715313981427104
21,C57 uninjured,"Cage1, Animal 2",1.4 vfh,580.78,5.64,0.0,Baseline,CCI uninjured paw.csv,-1.5295225921362303,-0.6563179644046704,-0.9723621116054458,-1.0231298052248863,,0.07123247911736336
22,C57 uninjured,"Cage1, Animal 4",1.4 vfh,664.98,3.6,0.0,Baseline,CCI uninjured paw.csv,-1.5979199342590091,-0.549828685016387,-1.1980939702313471,-1.0231298052248863,,0.07104470510177056
23,C57 uninjured,"Cage2, Animal 0",1.4 vfh,105.92,5.47,0.0,Baseline,CCI uninjured paw.csv,-1.889534743757088,-1.2568820880426772,-0.9911730998242707,-1.0231298052248863,,0.07731642178985189
24,C57 uninjured,"Cage2, Animal 1",1.4 vfh,736.73,10.36,0.0,Baseline,CCI uninjured paw.csv,-1.1133603091563775,-0.4590851482454925,-0.45008055635336003,-1.0231298052248863,,0.08475514116346232
25,C57 uninjured,"Cage2, Animal 3",1.4 vfh,504.53,6.73,0.0,Baseline,CCI uninjured paw.csv,-1.515962259531636,-0.7527527334469102,-0.851750481261214,-1.0231298052248863,,0.07132998935023692
26,C57 uninjured,"Cage3, Animal 0",1.4 vfh,2152.8,13.87,2.0,Baseline,CCI uninjured paw.csv,1.2104921257089336,1.3318444700842729,-0.06168897607055897,0.8228418776346288,,0.9276083151177353
27,C57 uninjured,"Cage3, Animal 2",1.4 vfh,1099.22,8.0,1.0,Baseline,CCI uninjured paw.csv,-0.46835589597645017,-0.0006374180143905543,-0.7112213339794028,-0.10014396379512873,,0.27182227048120083
28,C57 uninjured,"Cage3, Animal 3",1.4 vfh,769.45,5.28,0.0,Baseline,CCI uninjured paw.csv,-1.4137935156720394,-0.4177035660413995,-1.012197145480605,-1.0231298052248863,,0.07269202735210217
29,C57 uninjured,"Cage3, Animal 4",1.4 vfh,1103.2,8.91,2.0,Baseline,CCI uninjured paw.csv,0.12192009448468587,0.0043961607500437585,-0.6105272205727507,0.8228418776346288,,0.805707385246522
30,C57 uninjured,"Cage1, Animal 1",0.07 vfh,1138.15,7.43,1.0,Week 1,CCI uninjured paw.csv,-0.47614107174444553,0.048598064724159,-0.7742934709484047,-0.10014396379512873,,0.26633129615859213
31,C57 uninjured,"Cage1, Animal 2",0.07 vfh,1537.65,9.11,3.0,Week 1,CCI uninjured paw.csv,0.9833582172023076,0.5538530185913698,-0.5883966461976624,1.7458277190643865,,0.9358307572043115
32,C57 uninjured,"Cage1, Animal 4",0.07 vfh,2022.62,16.09,2.0,Week 1,CCI uninjured paw.csv,1.2565792031034133,1.1672034440656653,0.18396039949292212,0.8228418776346288,,0.9256730782619824
33,C57 uninjured,"Cage2, Animal 0",0.07 vfh,171.18,4.16,0.0,Week 1,CCI uninjured paw.csv,-1.9252285390271644,-1.1743465729253448,-1.1361283619810998,-1.0231298052248863,,0.0791346462521732
34,C57 uninjured,"Cage2, Animal 1",0.07 vfh,888.22,6.41,0.0,Week 1,CCI uninjured paw.csv,-1.2542845966684093,-0.2674929756263592,-0.8871594002613554,-1.0231298052248863,,0.07725759039461856
35,C57 uninjured,"Cage2, Animal 3",0.07 vfh,1112.9,6.34,0.0,Week 1,CCI uninjured paw.csv,-1.093554111987267,0.01666392809049925,-0.8949051012926365,-1.0231298052248863,,0.08617707183429554
36,C57 uninjured,"Cage3, Animal 0",0.07 vfh,708.48,12.56,0.0,Week 1,CCI uninjured paw.csv,-0.9936040691120281,-0.4948134397267158,-0.20664423822738773,-1.0231298052248863,,0.09525976861517338
37,C57 uninjured,"Cage3, Animal 2",0.07 vfh,412.83,7.09,0.0,Week 1,CCI uninjured paw.csv,-1.5603916172146644,-0.8687273999541023,-0.8119154473860549,-1.0231298052248863,,0.07108406170269832
38,C57 uninjured,"Cage3, Animal 3",0.07 vfh,826.5,6.45,1.0,Week 1,CCI uninjured paw.csv,-0.7678885955687944,-0.3455513880235664,-0.8827332853863378,-0.10014396379512873,,0.13442167839576372
39,C57 uninjured,"Cage3, Animal 4",0.07 vfh,558.24,6.34,0.0,Week 1,CCI uninjured paw.csv,-1.5013823270966793,-0.6848247144926977,-0.8949051012926365,-1.0231298052248863,,0.0714565942808012
40,C57 uninjured,"Cage1, Animal 1",0.6 vfh,1498.7,6.75,1.0,Week 1,CCI uninjured paw.csv,-0.25447315303204354,0.5045922414871699,-0.8495374238237052,-0.10014396379512873,,0.4650910376364799
41,C57 uninjured,"Cage1, Animal 2",0.6 vfh,1168.73,9.39,3.0,Week 1,CCI uninjured paw.csv,0.7299855309296307,0.08727314980365654,-0.5574138420725385,1.7458277190643865,,0.9368792521786922
42,C57 uninjured,"Cage1, Animal 4",0.6 vfh,849.38,5.13,0.0,Week 1,CCI uninjured paw.csv,-1.3646043409465287,-0.3166146337194818,-1.028795076261921,-1.0231298052248863,,0.07375558521085171
43,C57 uninjured,"Cage2, Animal 0",0.6 vfh,203.01,5.33,0.0,Week 1,CCI uninjured paw.csv,-1.8270894693008586,-1.1340905899926959,-1.0066645018868328,-1.0231298052248863,,0.07478815880659202
44,C57 uninjured,"Cage2, Animal 1",0.6 vfh,1298.18,7.02,0.0,Week 1,CCI uninjured paw.csv,-0.9138863031311215,0.25099093147602314,-0.819661148417336,-1.0231298052248863,,0.10545610387430694
45,C57 uninjured,"Cage2, Animal 3",0.6 vfh,1316.72,11.18,1.0,Week 1,CCI uninjured paw.csv,-0.10530682394727611,0.27443880843396573,-0.35934520141549764,-0.10014396379512873,,0.6239718337407534
46,C57 uninjured,"Cage3, Animal 0",0.6 vfh,1323.6,10.82,3.0,Week 1,CCI uninjured paw.csv,0.9352007956699948,0.2831400702177113,-0.39918023529065666,1.7458277190643865,,0.9369274527652153
47,C57 uninjured,"Cage3, Animal 2",0.6 vfh,197.28,5.95,0.0,Week 1,CCI uninjured paw.csv,-1.7916993152246259,-1.1413374257515423,-0.9380597213240586,-1.0231298052248863,,0.07368602166942632
48,C57 uninjured,"Cage3, Animal 3",0.6 vfh,1144.6,8.16,1.0,Week 1,CCI uninjured paw.csv,-0.4247688659265609,0.05675549764642037,-0.6935168744793321,-0.10014396379512873,,0.3047598150905158
49,C57 uninjured,"Cage3, Animal 4",0.6 vfh,1263.53,8.2,1.0,Week 1,CCI uninjured paw.csv,-0.33476743433889633,0.2071684429866642,-0.6890907596043145,-0.10014396379512873,,0.3850494721335175
50,C57 uninjured,"Cage1, Animal 1",1.4 vfh,1159.7,7.59,1.0,Week 1,CCI uninjured paw.csv,-0.45007567001831716,0.07585274371249034,-0.756589011448334,-0.10014396379512873,,0.2851828113247766
51,C57 uninjured,"Cage1, Animal 2",1.4 vfh,575.45,7.01,1.0,Week 1,CCI uninjured paw.csv,-0.9167089386670799,-0.6630589128505081,-0.8207676771360903,-0.10014396379512873,,0.10503950450179542
52,C57 uninjured,"Cage1, Animal 4",1.4 vfh,882.65,4.07,0.0,Week 1,CCI uninjured paw.csv,-1.407850550249125,-0.2745374564600022,-1.1460871204498895,-1.0231298052248863,,0.07280589571445316
53,C57 uninjured,"Cage2, Animal 0",1.4 vfh,511.29,7.53,0.0,Week 1,CCI uninjured paw.csv,-1.459890779411973,-0.7442032378570671,-0.7632281837608605,-1.0231298052248863,,0.07193978187138463
54,C57 uninjured,"Cage2, Animal 1",1.4 vfh,1254.75,7.41,1.0,Week 1,CCI uninjured paw.csv,-0.3916854094089037,0.1960642164661283,-0.7765065283859135,-0.10014396379512873,,0.3354372574766061
55,C57 uninjured,"Cage2, Animal 3",1.4 vfh,1050.7169999999999,7.6378,1.0,Week 1,CCI uninjured paw.csv,-0.5271549744275669,-0.06198004887151547,-0.7512998041726878,-0.10014396379512873,,0.23325092962242985
56,C57 uninjured,"Cage3, Animal 2",1.4 vfh,681.275,8.1589,0.0,Week 1,CCI uninjured paw.csv,-1.2947330950438076,-0.5292201006027045,-0.6936385926383952,-1.0231298052248863,,0.07577629278119306
57,C57 uninjured,"Cage3, Animal 3",1.4 vfh,1081.7169999999999,6.8686,1.0,Week 1,CCI uninjured paw.csv,-0.553495041777156,-0.022773782113358936,-0.8364139932192778,-0.10014396379512873,,0.21808201237234132
58,C57 uninjured,"Cage3, Animal 4",1.4 vfh,1551.78,7.54,1.0,Week 1,CCI uninjured paw.csv,-0.16498244884988278,0.5717234879233939,-0.762121655042106,-0.10014396379512873,,0.5602886233804548
59,C57 uninjured,"Cage1, Animal 1",0.07 vfh,1128.4,8.74,0.0,Week 2,CCI uninjured paw.csv,-0.9288542911577611,0.03626706146957751,-0.6293382087915758,-1.0231298052248863,,0.10329733167650418
60,C57 uninjured,"Cage1, Animal 2",0.07 vfh,1281.4,10.67,1.0,Week 2,CCI uninjured paw.csv,-0.16385367054009456,0.2297689586953178,-0.415778166071973,-0.10014396379512873,,0.5614924309256799
61,C57 uninjured,"Cage1, Animal 4",0.07 vfh,1034.76,9.15,2.0,Week 2,CCI uninjured paw.csv,0.08692810567464292,-0.08216115850570577,-0.5839705313226446,0.8228418776346288,,0.7840455793073081
62,C57 uninjured,"Cage2, Animal 0",0.07 vfh,558.11,6.98,0.0,Week 2,CCI uninjured paw.csv,-1.4605971017779942,-0.6849891278694255,-0.8240872632923535,-1.0231298052248863,,0.07193003194693341
63,C57 uninjured,"Cage2, Animal 1",0.07 vfh,503.58,6.85,0.0,Week 2,CCI uninjured paw.csv,-1.508995619680194,-0.7539542158153054,-0.838472136636161,-1.0231298052248863,,0.07138767795983823
64,C57 uninjured,"Cage2, Animal 3",0.07 vfh,765.22,6.55,0.0,Week 2,CCI uninjured paw.csv,-1.3357808736369612,-0.42305332437646415,-0.8716679981987936,-1.0231298052248863,,0.07451245793737425
65,C57 uninjured,"Cage3, Animal 0",0.07 vfh,709.8,9.327,0.0,Week 2,CCI uninjured paw.csv,-1.1991454775782662,-0.49314401159378796,-0.5643849730006915,-1.0231298052248863,,0.07971084225308343
66,C57 uninjured,"Cage3, Animal 2",0.07 vfh,398.95,8.512,2.0,Week 2,CCI uninjured paw.csv,-0.4213208197406905,-0.8862816897154961,-0.6545670635791765,0.8228418776346288,,0.30752370984901084
67,C57 uninjured,"Cage3, Animal 3",0.07 vfh,584.6,6.2925,0.0,Week 2,CCI uninjured paw.csv,-1.4850345730675256,-0.6514867405654394,-0.9001611127067198,-1.0231298052248863,,0.0716252584505859
68,C57 uninjured,"Cage3, Animal 4",0.07 vfh,609.225,7.6636,1.0,Week 2,CCI uninjured paw.csv,-0.8501254615606724,-0.6203430528583553,-0.7484449600783015,-0.10014396379512873,,0.11616742870898866
69,C57 uninjured,"Cage1, Animal 1",0.6 vfh,415.79,7.23,1.0,Week 2,CCI uninjured paw.csv,-1.0200503343083462,-0.8649838338378396,-0.7964240453234931,-0.10014396379512873,,0.09250863610355106
70,C57 uninjured,"Cage1, Animal 2",0.6 vfh,1713.32,14.89,1.0,Week 2,CCI uninjured paw.csv,0.4232846108092082,0.776026079281865,0.051176953242391916,-0.10014396379512873,,0.9106152986214844
71,C57 uninjured,"Cage1, Animal 4",0.6 vfh,1347.55,10.85,1.0,Week 2,CCI uninjured paw.csv,-0.10371743153598412,0.3134300730840936,-0.39586064913439345,-0.10014396379512873,,0.6256747041856641
72,C57 uninjured,"Cage2, Animal 0",0.6 vfh,354.02,8.84,2.0,Week 2,CCI uninjured paw.csv,-0.4334053570229221,-0.9431054821491728,-0.6182729216040317,0.8228418776346288,,0.2979381935422749
73,C57 uninjured,"Cage2, Animal 3",0.6 vfh,2032.85,10.59,1.0,Week 2,CCI uninjured paw.csv,0.38355941747970956,1.1801415120958572,-0.42463039582200834,-0.10014396379512873,,0.903089314692502
74,C57 uninjured,"Cage3, Animal 0",0.6 vfh,1811.1670000000001,14.3738,3.0,Week 2,CCI uninjured paw.csv,1.5207006140814918,0.899774969071715,-0.005942059219711337,1.7458277190643865,,0.9164355827344854
75,C57 uninjured,"Cage3, Animal 2",0.6 vfh,902.95,9.5604,1.0,Week 2,CCI uninjured paw.csv,-0.5129959989200485,-0.24886367532482223,-0.5385585927049633,-0.10014396379512873,,0.24193444734738306
76,C57 uninjured,"Cage3, Animal 3",0.6 vfh,438.925,6.1015,0.0,Week 2,CCI uninjured paw.csv,-1.6043462790648848,-0.8357245763717122,-0.9212958112349293,-1.0231298052248863,,0.07105394965275673
77,C57 uninjured,"Cage3, Animal 4",0.6 vfh,854.48,6.2,1.0,Week 2,CCI uninjured paw.csv,-0.7632846385055688,-0.3101645704786238,-0.9103965033551982,-0.10014396379512873,,0.13562036392279628
78,C57 uninjured,"Cage1, Animal 1",1.4 vfh,1312.82,9.76,0.0,Week 2,CCI uninjured paw.csv,-0.7281008887535958,0.26950640713213303,-0.5164722794786251,-1.0231298052248863,,0.14549310953915304
79,C57 uninjured,"Cage1, Animal 2",1.4 vfh,596.93,9.89,1.0,Week 2,CCI uninjured paw.csv,-0.7169515586413571,-0.6358927641419534,-0.5020874061348176,-0.10014396379512873,,0.14890014146754013
